# Configuration Mrad dMrad Jx dJx dJy dJy dJz dJy Vx dVx Vy dVy Vz dVz
# Table XV of 1211.7099
NQ33TH75PH90 0.0273 0.0002 -0.1219 0.0015 -0.0038 0.0009 0.1804 0.0037 232 2 7 2 -91 2
NQ33TH75PH120 0.0282 0.0002 -0.1056 0.0018 -0.0665 0.0000 0.1833 0.0036 353 2 412 8 -1083 4
NQ33TH75PH150 0.0295 0.0002 -0.0599 0.0015 -0.1096 0.0009 0.1870 0.0037 12 4 474 8 -1342 4
NQ33TH100PH0 0.0228 0.0002 0.0401 0.0010 0.1272 0.0013 0.1257 0.0030 -249 2 850 8 871 2
NQ33TH100PH30 0.0230 0.0002 -0.0301 0.0003 0.1304 0.0016 0.1268 0.0032 -699 4 604 8 895 2
NQ33TH100PH60 0.0229 0.0002 -0.0926 0.0005 0.0980 0.0016 0.1265 0.0033 -876 8 186 6 885 2
NQ33TH100PH90 0.0231 0.0002 -0.1300 0.0013 0.0374 0.0012 0.1274 0.0032 -859 10 -333 4 900 4
NQ33TH100PH120 0.0226 0.0002 -0.1276 0.0016 -0.0319 0.0004 0.1250 0.0032 -261 8 -626 2 559 2
NQ33TH100PH150 0.0216 0.0002 -0.0967 0.0015 -0.0875 0.0005 0.1206 0.0031 263 2 309 4 -458 2
NQ33TH135PH0 0.0159 0.0001 0.0628 0.0007 0.0510 0.0004 0.1182 0.0024 34 2 -351 2 -447 2
NQ33TH135PH30 0.0161 0.0001 0.0279 0.0004 0.0767 0.0008 0.1195 0.0024 247 2 -453 2 -453 2
NQ33TH135PH60 0.0162 0.0001 -0.0153 0.0000 0.0812 0.0009 0.1200 0.0025 483 2 -315 4 -432 4
NQ33TH135PH90 0.0163 0.0001 -0.0554 0.0004 0.0624 0.0008 0.1197 0.0026 636 2 -63 2 -353 4
NQ33TH135PH120 0.0161 0.0001 -0.0790 0.0007 0.0265 0.0005 0.1170 0.0026 515 4 171 2 -76 2
NQ33TH135PH150 0.0157 0.0001 -0.0805 0.0008 -0.0130 0.0000 0.1159 0.0025 118 2 -8 2 301 2
NQ25TH30PH0 0.0308 0.0004 -0.0001 0.0006 0.0547 0.0010 0.2283 0.0028 -24 6 12 4 80 6
NQ25TH30PH30 0.0308 0.0004 -0.0272 0.0001 0.0473 0.0011 0.2288 0.0027 -38 6 72 2 341 4
NQ25TH30PH60 0.0309 0.0004 -0.0472 0.0005 0.0274 0.0009 0.2293 0.0028 -114 8 110 2 614 2
NQ25TH30PH90 0.0312 0.0005 -0.0548 0.0010 0.0003 0.0004 0.2304 0.0027 -193 10 61 4 756 4
NQ25TH30PH120 0.0314 0.0005 -0.0479 0.0012 -0.0271 0.0002 0.2320 0.0029 -212 8 -42 8 791 6
NQ25TH30PH150 0.0315 0.0005 -0.0279 0.0010 -0.0477 0.0008 0.2317 0.0028 -153 8 -118 10 663 10
NQ25TH60PH0 0.0246 0.0002 -0.0048 0.0011 0.0952 0.0012 0.1575 0.0018 -77 4 78 2 -97 4
NQ25TH60PH30 0.0245 0.0002 -0.0520 0.0005 0.0795 0.0014 0.1578 0.0020 -139 4 75 2 72 4
NQ25TH60PH60 0.0245 0.0002 -0.0849 0.0003 0.0425 0.0013 0.1587 0.0021 -131 4 -19 2 -15 4
NQ25TH60PH90 0.0245 0.0002 -0.0948 0.0011 -0.0061 0.0008 0.1594 0.0016 -117 2 -84 2 37 4
NQ25TH60PH120 0.0250 0.0003 -0.0797 0.0014 -0.0540 0.0000 0.1608 0.0017 -266 6 -239 4 889 2
NQ25TH60PH135 0.0259 0.0003 -0.0644 0.0016 -0.0732 0.0004 0.1639 0.0018 -246 10 -310 2 1165 2
NQ25TH60PH150 0.0261 0.0003 -0.0442 0.0015 -0.0870 0.0009 0.1640 0.0019 -165 12 -283 2 1106 4
NQ25TH60PH165 0.0255 0.0003 -0.0205 0.0014 -0.0943 0.0012 0.1613 0.0017 -85 10 -147 2 733 4
NQ25TH90PH0 0.0185 0.0002 0.0182 0.0012 0.1128 0.0015 0.0847 0.0024 240 2 -1 4 -202 2
NQ25TH90PH30 0.0185 0.0002 -0.0417 0.0004 0.1067 0.0019 0.0853 0.0027 225 4 108 4 -236 2
NQ25TH90PH60 0.0191 0.0002 -0.0920 0.0007 0.0709 0.0018 0.0883 0.0028 419 8 159 2 -536 2
NQ25TH90PH90 0.0190 0.0002 -0.1150 0.0014 0.0146 0.0012 0.0880 0.0028 228 8 329 2 -489 2
NQ25TH90PH120 0.0181 0.0002 -0.1074 0.0018 -0.0429 0.0001 0.0835 0.0026 -327 2 -168 2 244 2
NQ25TH90PH150 0.0197 0.0002 -0.0736 0.0016 -0.0940 0.0010 0.0892 0.0023 29 2 -743 6 792 2
NQ25TH135PH0 0.0116 0.0001 0.0567 0.0006 0.0314 0.0003 0.0794 0.0014 -163 4 -471 2 -207 2
NQ25TH135PH30 0.0117 0.0001 0.0329 0.0004 0.0570 0.0006 0.0792 0.0015 65 4 -548 2 -141 2
NQ25TH135PH60 0.0117 0.0001 -0.0002 0.0001 0.0670 0.0007 0.0793 0.0015 333 4 -440 2 -134 2
NQ25TH135PH90 0.0118 0.0001 -0.0344 0.0002 0.0583 0.0006 0.0784 0.0017 489 2 -236 2 -57 2
NQ25TH135PH120 0.0115 0.0001 -0.0568 0.0005 0.0343 0.0003 0.0761 0.0018 282 2 -70 2 159 2
NQ25TH135PH150 0.0112 0.0001 -0.0643 0.0006 0.0030 0.0000 0.0779 0.0016 -122 4 -221 2 258 2
